SpatialDim,TimeDim,NumericValue
CMR,2017,71772.05
CMR,2018,72741.8
CMR,2019,74124.55
COD,2000,154858.1
COD,2001,157962.1
COD,2002,159500.5
COD,2003,165748.7
COD,2004,168068.2
COD,2005,172010.6
COD,2006,177674.8
COD,2007,180603.6
COD,2008,187044.1
COD,2009,196809.0
COD,2010,202050.7
COD,2011,206874.0
COD,2012,211844.1
COD,2013,215296.9
COD,2014,220501.7
COD,2015,221768.1
COD,2016,223820.8
COD,2017,233953.0
COD,2018,243932.9
COD,2019,246328.8
COG,2000,12219.65
COG,2001,11636.17
COG,2002,11208.67
COG,2003,11213.27
COG,2004,11470.6
COG,2005,11514.25
COG,2006,11799.95
COG,2007,11955.93
COG,2008,12107.48
COG,2009,12557.34
COG,2010,12579.52
COG,2011,12717.67
COG,2012,13238.79
COG,2013,13194.83
COG,2014,13100.76
COG,2015,12503.02
COG,2016,12917.08
COG,2017,13027.04
COG,2018,13267.28
COG,2019,13499.9
COL,2000,111353.6
COL,2001,113891.2
COL,2002,115571.0
COL,2003,122239.4
COL,2004,123135.8
COL,2005,126801.9
COL,2006,130677.8
COL,2007,131907.0
COL,2008,136483.2
COL,2009,133375.2
COL,2010,139985.6
COL,2011,138477.3
COL,2012,142349.8
COL,2013,146400.3
COL,2014,154891.4
COL,2015,163186.9
COL,2016,165581.2
COL,2017,171048.2
COL,2018,175590.6
COL,2019,181085.5
COM,2000,1628.268
COM,2001,1648.904
COM,2002,1652.616
COM,2003,1647.124
COM,2004,1651.708
COM,2005,1663.47
COM,2006,1687.963
COM,2007,1731.107
COM,2008,1784.733
COM,2009,1771.065
COM,2010,1824.787
COM,2011,1854.956
COM,2012,1905.393
COM,2013,1939.762
COM,2014,2048.737
COM,2015,2078.951
COM,2016,2132.924
COM,2017,2175.795
COM,2018,2206.522
COM,2019,2245.736
CPV,2000,1162.92
CPV,2001,1196.868
CPV,2002,1227.478
CPV,2003,1254.638
CPV,2004,1285.069
CPV,2005,1319.217
CPV,2006,1288.053
CPV,2007,1299.65
CPV,2008,1338.455
CPV,2009,1375.09
CPV,2010,1407.627
CPV,2011,1466.506
CPV,2012,1514.492
CPV,2013,1532.506
CPV,2014,1562.364
CPV,2015,1606.703
CPV,2016,1704.696
CPV,2017,1751.127
CPV,2018,1996.468
CPV,2019,2001.588
CRI,2000,11790.53
CRI,2001,12462.92
CRI,2002,11850.94
CRI,2003,12537.73
CRI,2004,13190.98
CRI,2005,12372.46
CRI,2006,13290.82
CRI,2007,12771.03
CRI,2008,13205.48
CRI,2009,13467.91
CRI,2010,15446.95
CRI,2011,15104.03
CRI,2012,15551.38
CRI,2013,15972.52
CRI,2014,16742.76
CRI,2015,16821.17
CRI,2016,18009.32
CRI,2017,18774.06
CRI,2018,18936.83
CRI,2019,19584.58
CUB,2000,62047.13
CUB,2001,63502.13
CUB,2002,60206.55
CUB,2003,64410.48
CUB,2004,66533.09
CUB,2005,69687.69
CUB,2006,67205.22
CUB,2007,68815.84
CUB,2008,72759.36
CUB,2009,73460.38
CUB,2010,77383.85
CUB,2011,73262.52
CUB,2012,75232.92
CUB,2013,77326.04
CUB,2014,80859.35
CUB,2015,83382.91
CUB,2016,83301.52
CUB,2017,89204.04
CUB,2018,89975.31
CUB,2019,92322.53
CYP,2000,5301.355
CYP,2001,5509.644
CYP,2002,5605.455
CYP,2003,5679.619
CYP,2004,5729.709
CYP,2005,5565.767
CYP,2006,5750.059
CYP,2007,5676.472
CYP,2008,5629.236
CYP,2009,5568.793
CYP,2010,5628.645
CYP,2011,5810.529
CYP,2012,5851.722
CYP,2013,5846.085
CYP,2014,5918.216
CYP,2015,5998.688
CYP,2016,6162.795
CYP,2017,6118.506
CYP,2018,6024.799
CYP,2019,6072.476
CZE,2000,97454.84
CZE,2001,98421.11
CZE,2002,99600.43
CZE,2003,101764.3
CZE,2004,97833.38
CZE,2005,97422.73
CZE,2006,95274.95
CZE,2007,95775.39
CZE,2008,95869.77
CZE,2009,97877.1
CZE,2010,96884.59
CZE,2011,98332.05
CZE,2012,99705.65
CZE,2013,100971.5
CZE,2014,96767.41
CZE,2015,100530.3
CZE,2016,97987.54
CZE,2017,101228.5
CZE,2018,102324.6
CZE,2019,101465.3
DEU,2000,759927.2
DEU,2001,754264.9
DEU,2002,768845.8
DEU,2003,780733.5
DEU,2004,745287.6
DEU,2005,740743.1
DEU,2006,735722.3
DEU,2007,739931.7
DEU,2008,756239.4
DEU,2009,763474.6
