year,iso3,country,region,gdppc,pm25_concentration,population
2010,AUT,Austria,Europe,46903.7615854343,13.7,8365087
2010,AZE,Azerbaijan,Asia,5843.5337683582,16.94,9146852
2010,BHS,Bahamas,North America,27046.6576651879,1.55,367482
2010,BHR,Bahrain,Asia,21186.8143292279,17.25,1213250
2010,BGD,Bangladesh,Asia,776.835743954765,47.67,152201977
2010,BRB,Barbados,North America,16507.4305360907,0.54,275250
2010,BLR,Belarus,Europe,6034.67885177216,16.96,9490752
2010,BEL,Belgium,Europe,44184.946353964,15.48,10936620
2010,BLZ,Belize,North America,5399.06209583265,2.97,320256
2010,BEN,Benin,Africa,1009.48949478478,14.34,9797488
2010,BMU,Bermuda,North America,101875.28407346,1.13,63748
2010,BTN,Bhutan,Asia,2371.97209032796,20.59,701639
2010,BOL,Bolivia,South America,1922.05857050664,14.47,10182345
2010,BIH,Bosnia and Herzegovina,Europe,4506.93235205533,11.64,3811480
2010,BWA,Botswana,Africa,6041.73205119653,17.73,2033110
2010,BRA,Brazil,South America,11249.2918904352,8.83,193701931
2010,BRN,Brunei Darussalam,Asia,34609.7119829323,7.97,392340
2010,BGR,Bulgaria,Europe,6863.66706774052,13.09,7437594
2010,BFA,Burkina Faso,Africa,627.270395707064,5.08,16176504
2010,BDI,Burundi,Africa,222.660583208376,15.6,9376447
2010,KHM,Cambodia,Asia,782.695738595564,15.83,14500732
2010,CMR,Cameroon,Africa,1383.81386413817,15.58,19668064
2010,CAN,Canada,North America,47560.6666009406,6.58,34196901
2010,CPV,Cape Verde,Africa,3500.97746776661,0.9,509794
2010,CYM,Cayman Islands,North America,76873.1953208127,1.89,54119
2010,CAF,Central African Republic,Africa,459.776981833241,16.76,4493001
2010,TCD,Chad,Africa,896.876704620394,5.84,12312582
2010,CHL,Chile,South America,12764.5931178671,12.32,17181462
2010,CHN,China,Asia,4550.47394356715,44.12,1351561511
2010,COL,Colombia,South America,6392.75802564031,9.71,44777325
2010,COM,Comoros,Africa,1384.06328257479,1.89,654845
2010,CRI,Costa Rica,North America,8147.24398493375,1.84,4555965
2010,CIV,Cote d'Ivoire,Africa,1654.17795949757,10.61,22488068
2010,HRV,Croatia,Europe,13697.4521970764,12.43,4301152
2010,CUB,Cuba,North America,5275.53260105122,2.92,11297413
2010,CYP,Cyprus,Asia,31105.02734375,7.39,1127825
2010,CZE,Czech Republic,Europe,19960.0684872157,21.51,10464035
2010,COD,Dem. Rep. Congo,Africa,324.827726109271,20.86,68563037
2010,DNK,Denmark,Europe,58041.3984363385,8.86,5547866
2010,DJI,Djibouti,Africa,1227.82085311429,6.92,930251
